,Title,Developer,Publisher,First released,JP,EU/PAL,NA
1075,FIFA World Cup: Germany 2006,EA Canada,EA Sports,2006-04-24NA,Released,Released,Released
1076,Fight Club,Genuine Games,"VU GamesNA, Sierra EntertainmentEU",2004-11-16NA,Unreleased,Released,Released
1077,Fight Night 2004,Genuine Games,EA Sports,2004-04-05NA,Released,Released,Released
1078,Fight Night Round 2,EA Sports,EA Sports,2005-02-28NA,Released,Released,Released
1079,Fight Night Round 3,EA Chicago,EA Sports,2006-02-20NA,Released,Released,Released
1080,FightBox,Gamezlab,Gamezlab,2004-02-06EU,Unreleased,Released,Unreleased
1081,Fighter Maker 2,Enterbrain,Agetec,2002-11-12NA,Released,Unreleased,Released
1082,Fighting Angels,Tamsoft,"D3PublisherJP, 505 Game StreetEU",2004-06-24JP,Released,Released,Unreleased
1083,Fighting for One Piece,Bandai,Bandai,2005-09-08JP,Released,Unreleased,Unreleased
1084,Fighting Fury,Tomy,"TomyJP, Midas Interactive EntertainmentEU",2000-10-12JP,Released,Released,Unreleased
1085,Final Approach,PrincessSoft,PrincessSoft,2004-10-07JP,Released,Unreleased,Unreleased
1086,Final Approach 2: 1st Priority,PrincessSoft,PrincessSoft,2008-02-28JP,Released,Unreleased,Unreleased
1087,Final Armada,I-Imagine,Virgin Play,2007-08-17EU,Unreleased,Released,Unreleased
1088,Final Fantasy X,SquareSoft,SquareSoft,2001-07-19JP,Released,Released,Released
1089,Final Fantasy X-2,SquareSoft,"SquareSoftAS,JP, Square EnixKO,NA, Electronic ...",2003-03-13JP,Released,Released,Released
1090,Final Fantasy X-2: International + Last Mission,Square Enix,Square Enix,2004-02-19JP,Released,Unreleased,Unreleased
1091,Final Fantasy X/X-2 Ultimate Box,Square Enix,Square Enix,2005-09-08JP,Released,Unreleased,Unreleased
1092,Final Fantasy XI,Square Enix,"SquareSoftJP, Sony Computer EntertainmentNA",2002-05-16JP,Released,Unreleased,Released
1093,Final Fantasy XI: All in One Pack 2004,Square Enix,Square Enix,2004-09-16JP,Released,Unreleased,Released
1094,Final Fantasy XI: Chains of Promathia,Square Enix,Square Enix,2004-09-16JP,Released,Unreleased,Released
1095,Final Fantasy XI: Rise of the Zilart,Square Enix,Square Enix,2003-04-17JP,Released,Unreleased,Unreleased
1096,Final Fantasy XI: Seekers of Adoulin,Square Enix,Square Enix,2013-03-27JP,Released,Unreleased,Unreleased
1097,Final Fantasy XI: Treasures of Aht Urhgan,Square Enix,Square Enix,2006-04-18NA,Released,Unreleased,Released
1098,Final Fantasy XI: Vana'diel Collection 2008,Square Enix,Square Enix,2007-11-20NA,Released,Unreleased,Released
1099,Final Fantasy XI: Vana'diel Collection 2010,Square Enix,Square Enix,2009-11-10JP,Released,Unreleased,Unreleased
1100,Final Fantasy XI: Wings of the Goddess,Square Enix,Square Enix,2007-11-20NA,Released,Unreleased,Released
1101,Final Fantasy XII,Square Enix,Square Enix,2006-03-14AS,Released,Released,Released
1102,Final Fantasy XII International Zodiac Job System,Square Enix,Square Enix,2007-08-07AS,Released,Unreleased,Unreleased
1103,Final Fight: Streetwise,Capcom Production Studio 8,Capcom,2006-02-28NA,Unreleased,Released,Released
1104,Finalist,PrincessSoft,PrincessSoft,2006-01-26JP,Released,Unreleased,Unreleased
1105,Finkles World,Phoenix Games,Phoenix Games,2005EU,Unreleased,Released,Unreleased
1106,Finny The Fish & The Seven Waters,Sony Computer Entertainment,"Sony Computer EntertainmentJP, NatsumeNA",2004-07-15JP,Released,Unreleased,Released
1107,Fire Blade,Kuju Entertainment,Midway Games,2002-06-16NA,Unreleased,Released,Released
1108,Fire Heroes,Spike,"SpikeJP, 505 Game StreetEU",2004-10-28JP,Released,Released,Unreleased
1109,Fire Pro Wrestling Returns,S-Neo,"SpikeJP, AgetecNA, 505 Game StreetEU",2005-09-15JP,Released,Released,Released
1110,Fire Pro Wrestling Z,Spike,Spike,2003-06-05JP,Released,Unreleased,Unreleased
1111,Firefighter F.D. 18,Konami,Konami,2004-02-26JP,Released,Released,Released
1112,First Kiss * Monogatari I & II,M2,Broccoli,2003-07-17JP,Released,Unreleased,Unreleased
1113,Fisherman's Bass Club,Vingt-eu-un Systems,"D3 PublisherJP, Agetec Inc.EU,NA",2002-03-28JP,Released,Released,Released
1114,Fisherman's Challenge,Konami,Konami,2003-01-19NA,Unreleased,Released,Released
1115,Fishing Fantasy: BuzzRod,Starfish SD,"Starfish SDJP, 505 Game StreetEU",2005-01-06JP,Released,Released,Unreleased
1116,Fitness Fun,Tamsoft,"D3 PublisherJP, 505 Game StreetEU",2004-02-26JP,Released,Released,Unreleased
1117,Flame of Recca: Final Burning,KCEJ,Konami,2004-06-10JP,Released,Unreleased,Unreleased
1118,FlatOut,Bugbear Entertainment,"Empire InteractiveEU,NA, KonamiJP",2004-11-05EU,Released,Released,Released
1119,FlatOut 2,Bugbear Entertainment,"Empire InteractiveEU,KO,NA, KonamiJP",2006-06-30EU,Released,Released,Released
1120,The Flintstones in Viva Rock Vegas,Toka,Swing! Deutschland,2001-07-06EU,Unreleased,Released,Unreleased
1121,The Flintstones: Bedrock Racing,"Coyote Console, Beyond Reality",Blast! Entertainment Ltd,2007-10-02EU,Unreleased,Released,Unreleased
1122,Flipnic: Ultimate Pinball,Sony Computer Entertainment,"Sony Computer EntertainmentJP, UbisoftEU, Capc...",2005-07-13NA,Released,Released,Released
1123,Flow: Urban Dance Uprising,Artificial Mind and Movement,Ubisoft,"2005-11-15EU,NA",Unreleased,Released,Released
1124,"Flower, Sun, and Rain",Grasshopper Manufacture,Victor Interactive,2001-05-02JP,Released,Unreleased,Unreleased
1125,Football Generation,Trecision,Midas Interactive Entertainment,2006-11-10EU,Unreleased,Released,Unreleased
1126,Football Kingdom: Trial Edition,Namco,Namco,2004-05-27JP,Released,Unreleased,Unreleased
1127,For Symphony: With All One's Heart,Takuyo,Takuyo,2005-05-26JP,Released,Unreleased,Unreleased
1128,Ford Bold Moves Street Racing,Razorworks,"XplosivPAL, Eidos InteractiveNA",2006-02-24EU,Unreleased,Released,Released
1129,Ford Mustang: The Legend Lives,Eutechnyx,2K Games,2005-04-19NA,Unreleased,Released,Released
1130,Ford Racing 2,Razorworks,"Gotham GamesNA, Empire InteractiveEU",2003-10-28NA,Unreleased,Released,Released
1131,Ford Racing 3,Razorworks,"Empire InteractiveEU, 2K GamesNA",2004-10-29EU,Unreleased,Released,Released
1132,Ford Racing: Off Road,Razorworks,"XplosivEU, Empire InteractiveNA",2008-03-20EU,Unreleased,Released,Released
1133,Ford vs. Chevy,Eutechnyx,Global Star Software,2005-11-09NA,Unreleased,Released,Released
1134,Forever Kingdom,FromSoftware,"FromSoftwareJP, Agetec Inc.NA",2001-06-21JP,Released,Unreleased,Released
1135,Forgotten Realms: Demon Stone,Stormfront Studios,Atari,2004-09-14NA,Released,Released,Released
1136,Formation Final,Konami,Konami,2003-09-18JP,Released,Unreleased,Unreleased
1137,Formula One 04,Studio Liverpool,Sony Computer Entertainment,2004-06-30EU,Released,Released,Unreleased
1138,Formula One 05,Studio Liverpool,Sony Computer Entertainment,2005-07-01EU,Released,Released,Unreleased
1139,Formula One 06,Studio Liverpool,Sony Computer Entertainment,2006-07-28EU,Released,Released,Unreleased
1140,Formula One 2001,Studio Liverpool,Sony Computer Entertainment,2001-04-20EU,Released,Released,Released
1141,Formula One 2002,Studio Liverpool,Sony Computer Entertainment,2002-11-01EU,Released,Released,Unreleased
1142,Formula One 2003,Studio Liverpool,Sony Computer Entertainment,2003-07-11EU,Unreleased,Released,Unreleased
1143,Formula Challenge,Aqua Pacific,Oxygen Games,2004-06-25EU,Unreleased,Released,Unreleased
1144,Forty 4 Party,HuneX,"D3 PublisherJP, 505 Game StreetEU",2001-11-08JP,Released,Released,Unreleased
1145,Fragments Blue,SilverBullet,Kadokawa Games,2006-01-19JP,Released,Unreleased,Unreleased
1146,Fragrance Tale,Takuyo,Takuyo,2005-04-28JP,Released,Unreleased,Unreleased
1147,Frank Herbert's Dune,WideScreen Games,Cryo Interactive,2001-11-14EU,Unreleased,Released,Unreleased
1148,Frankie Dettori Racing,Sidhe,Tru Blu Entertainment,2006-10-26AU,Unreleased,Released,Unreleased
1149,Franklin: A Birthday Surprise,Neko Entertainment,The Game Factory,2006-03-31EU,Unreleased,Released,Released
1150,Freak Out: Extreme Freeride,Coldwood Interactive,JoWooD Entertainment,2007-03-30EU,Unreleased,Released,Unreleased
1151,Freaky Flyers,Midway Games,Midway Games,2003-08-05NA,Unreleased,Released,Released
1152,Free Running,Rebellion,"UbisoftAU, Reef EntertainmentEU",2007-04-05AU,Unreleased,Released,Unreleased
1153,Freedom Fighters,IO Interactive,Electronic Arts,2003-09-26EU,Released,Released,Released
1154,Freekstyle,Page 44 Studios,EA Sports Big,2002-06-17NA,Released,Released,Released
1155,Freestyle MetalX,Deibus Studios,Midway Games,2003-06-27NA,Unreleased,Released,Released
1156,Frequency,Harmonix Music Systems,Sony Computer Entertainment,2001-11-19NA,Unreleased,Released,Released
1157,Friends: The One with All the Trivia,Artech Studios,Warner Bros. Interactive Entertainment,2005-11-15NA,Unreleased,Released,Released
1158,Friends: Seishun no Kagayaki,F&C,NEC Interchannel,2004-09-30JP,Released,Unreleased,Unreleased
1159,Frogger: Ancient Shadow,Hudson Soft,Konami,2005-09-27NA,Unreleased,Unreleased,Released
1160,Frogger Beyond,Konami,Konami,2003-06-26JP,Released,Released,Unreleased
1161,Frogger: The Great Quest,Konami,Konami,2001-11-18NA,Unreleased,Released,Released
1162,Frogger's Adventures: The Rescue,Konami,Konami,2003-10-29NA,Released,Unreleased,Released
1163,From Russia with Love,EA Redwood Shores,Electronic Arts,2005-11-01NA,Released,Released,Released
1164,Front Mission 4,Square Enix,Square Enix,2003-12-18JP,Released,Unreleased,Released
1165,Front Mission 5: Scars of the War,Square Enix,Square Enix,2005-12-29JP,Released,Unreleased,Unreleased
1166,Front Mission Online,Square Enix,Square Enix,2005-05-12JP,Released,Unreleased,Unreleased
1167,Fruit Machine Mania,Liquid Games,OG International Ltd,2006-05-12EU,Unreleased,Released,Unreleased
1168,Fruitfall,Phoenix Games,Phoenix Games,2007EU,Unreleased,Released,Unreleased
1169,Fugitive Hunter: War on Terror,Black Ops Entertainment,"Encore SoftwareNA, Play It!EU",2003-11-18NA,Unreleased,Released,Released
1170,Fukakutei Sekai no Tantei Shinshi: Akugyou Fut...,Abel Software,Abel Software,2009-01-29JP,Released,Unreleased,Unreleased
1171,Full House Kiss,Tenky,Capcom,2004-07-22JP,Released,Unreleased,Unreleased
1172,Full House Kiss 2,Tenky,Capcom,2006-02-23JP,Released,Unreleased,Unreleased
1173,Full Spectrum Warrior,Pandemic Studios,"THQEU,KO,NA, SegaJP",2005-03-28NA,Released,Released,Released
1174,Full Spectrum Warrior: Ten Hammers,Pandemic Studios,"THQEU,KO,NA, SegaJP",2006-03-28NA,Released,Released,Released
1175,Fullmetal Alchemist 2: Curse of the Crimson Elixir,Racjin,Square Enix,2004-09-22JP,Released,Unreleased,Released
1176,Fullmetal Alchemist 3: The Girl who Succeeds God,Racjin,Square Enix,2005-07-21JP,Released,Unreleased,Unreleased
1177,Fullmetal Alchemist and the Broken Angel,Racjin,Square Enix,2003-12-25JP,Released,Unreleased,Released
1178,Fullmetal Alchemist: Dream Carnival,Eighting/Raizing,Bandai,2004-08-26JP,Released,Unreleased,Unreleased
1179,Fur Fighters: Viggo's Revenge,Bizarre Creations,Acclaim Entertainment,2001-06-03NA,Unreleased,Released,Released
1180,Furasera: Hurrah! Sailor,Datam Polystar,Datam Polystar,2004-02-26JP,Released,Unreleased,Unreleased
1181,Furry Tales,Mad Monkey,Phoenix Games,2004-10-22EU,Unreleased,Released,Unreleased
1182,Fushigi no Kuni no Alice,Global A,Global A,2003-06-12JP,Released,Unreleased,Unreleased
1183,Fushigi no Umi no Nadia: Inherit the Blue Water,Jinx,Jinx,2005-09-22JP,Released,Unreleased,Unreleased
1184,Fushigi Yuugi: Genbu Kaiten Gaiden - Kagami no Miko,Idea Factory,Idea Factory,2005-06-23JP,Released,Unreleased,Unreleased
1185,Fushigi Yuugi: Suzaku Ibun,Idea Factory,Idea Factory,2008-05-29JP,Released,Unreleased,Unreleased
1186,Futakoi,Alpha Unit,MediaWorks,2004-12-09JP,Released,Unreleased,Unreleased
1187,Futakoi Alternative,Marvelous Entertainment,Marvelous Entertainment,2005-06-23JP,Released,Unreleased,Unreleased
1188,Futakoi: Koi to Mizugi no Survival,Alpha Unit,MediaWorks,2005-08-25JP,Released,Unreleased,Unreleased
1189,Futari no Fantavision,SCEJ,SCEJ,2002-07-04JP,Released,Unreleased,Unreleased
1190,Futurama,Unique Development Studios,"SCi GamesEU, Vivendi Universal GamesNA",2003-08-01EU,Unreleased,Released,Released
1191,Future Tactics: The Uprising,Zed Two,JoWood Entertainment,2004-05-10NA,Unreleased,Released,Released
1192,Fuun Bakumatsuden,Genki,Genki,2005-01-20JP,Released,Unreleased,Unreleased
1193,Fuuraiki,FOG Inc.,FOG Inc.,2006-09-28JP,Released,Unreleased,Unreleased
1194,Fuuraiki 2,FOG Inc.,FOG Inc.,2005-11-10JP,Released,Unreleased,Unreleased
1195,Fuuun Shinsengumi,Genki,Konami,2004-01-22JP,Released,Unreleased,Unreleased
1196,Fuuun Super Combo,SNK Playmore,SNK Playmore,2007-06-21JP,Released,Unreleased,Unreleased
1197,G-Force (2006),Mere Mortals,Phoenix Games,2006-10-06EU,Unreleased,Released,Unreleased
1198,G-Force,Eurocom,Disney Interactive Studios,2009-07-21NA,Unreleased,Released,Released
1199,G-Saviour,Atelier-Sai,Sunrise Interactive,2000-09-14JP,Released,Unreleased,Unreleased
1200,G-Taste Mahjong,Psikyo,X-Nauts,2003-04-24JP,Released,Unreleased,Unreleased
1201,G.I. Joe: The Rise of Cobra,Double Helix Games,Electronic Arts,"2009-08-04AU,NA",Unreleased,Released,Released
1202,G1 Jockey,Koei/Inis,"KoeiJP, THQEU",2001-03-22JP,Released,Released,Unreleased
1203,G1 Jockey 2,Koei/Inis,KoeiJP,2000-11-02JP,Released,Unreleased,Unreleased
1204,G1 Jockey 3,Koei/Inis,"KoeiJP,NA, THQEU",2002-12-21JP,Released,Released,Released
1205,G1 Jockey 3 2003,Koei/Inis,Koei,2003-10-30JP,Released,Unreleased,Unreleased
1206,G1 Jockey 3 2005 Nendoban,Koei,Koei,2005-02-24JP,Released,Unreleased,Unreleased
1207,G1 Jockey 4,Koei,Koei,2005-12-22JP,Released,Released,Unreleased
1208,G1 Jockey 4 2006,Koei,Koei,2006-09-14JP,Released,Unreleased,Unreleased
1209,G1 Jockey 4 2007,Koei,Koei,2007-11-01JP,Released,Unreleased,Unreleased
1210,G1 Jockey 4 2008,Koei,Koei,2008-09-18JP,Released,Unreleased,Unreleased
1211,Gacharoku,Agenda,Sony Computer Entertainment,2002-12-05JP,Released,Unreleased,Unreleased
1212,Gacharoku 2: Kondo wa Sekai Isshuu yo!!,Agenda,Sony Computer Entertainment,2003-12-18JP,Released,Unreleased,Unreleased
1213,Gachinko Pro Yakyuu,Now Production,Now Production,2003-08-07JP,Released,Unreleased,Unreleased
1214,Gadget & the Gadgetinis,EKO Software,Hip Games,2004-11-05EU,Unreleased,Released,Unreleased
1215,Gadget Racers,Barnhouse Effect,"TakaraJP, Conspiracy EntertainmentNA, Midas In...",2000-12-21JP,Released,Released,Released
1216,Gadget Racers,Takara,"TakaraJP, Zoo Digital PublishingPAL",2002-12-12JP,Released,Released,Unreleased
1217,Gaelic Games: Football,IR Gurus,Sony Computer Entertainment,2005-11-11IE,Unreleased,Released,Unreleased
1218,Gaelic Games: Football 2,IR Gurus,Sony Computer Entertainment,2007-08-17IE,Unreleased,Released,Unreleased
1219,Gaelic Games: Hurling,IR Gurus,Sony Computer Entertainment,2007-11-30IE,Unreleased,Released,Unreleased
1220,Gaika no Gouhou: Air Land Force,Koei,Koei,2003-08-28JP,Released,Unreleased,Unreleased
1221,Gakkou o Tsukurou!! Happy Days,Marvelous Entertainment,Marvelous Entertainment,2005-03-24JP,Released,Unreleased,Unreleased
1222,Gakuen Alice: KiraKira Memory Kiss,Kids Station,Kids Station,2006-06-22JP,Released,Unreleased,Unreleased
1223,Gakuen Heaven: Boy's Love Scramble!,Spray,NEC Interchannel,2003-11-27JP,Released,Unreleased,Unreleased
1224,Gakuen Heaven: Boy's Love Scramble: Type B,Spray,NEC Interchannel,2004-07-22JP,Released,Unreleased,Unreleased
1225,Gakuen Heaven: Okawari! Boy's Love Attack!,Spray,Interchannel,2005-02-24JP,Released,Unreleased,Unreleased
1226,Gakuen Toshi Vara Noir,Idea Factory,Idea Factory,2002-10-31JP,Released,Unreleased,Unreleased
1227,Gakuen Utopia: Manabi Straight! KiraKira Happy Festa!,Marvelous Entertainment,Marvelous Entertainment,2007-03-29JP,Released,Unreleased,Unreleased
1228,Galactic Wrestling: Featuring Ultimate Muscle,AKI Corp.,Bandai,2004-04-22JP,Released,Unreleased,Released
1229,Galaxy Angel,Broccoli,Broccoli,2003-04-17JP,Released,Unreleased,Unreleased
1230,Galaxy Angel II: Eigou Kaiki no Koku,Broccoli,Broccoli,2009-03-12JP,Released,Unreleased,Unreleased
1231,Galaxy Angel II: Mugen Kairou no Kagi,Broccoli,Broccoli,2007-10-18JP,Released,Unreleased,Unreleased
1232,Galaxy Angel II: Zettairyouiki no Tobira,Broccoli,Broccoli,2006-06-22JP,Released,Unreleased,Unreleased
1233,Galaxy Angel: Eternal Lovers,Broccoli,Broccoli,2005-02-24JP,Released,Unreleased,Unreleased
1234,Galaxy Angel: Moonlit Lovers,Broccoli,Broccoli,2004-02-26JP,Released,Unreleased,Unreleased
1235,Galerians: Ash,Polygon Magic,"EnterbrainJP, |Sammy StudiosNA,PAL",2002-04-25JP,Released,Released,Released
1236,Gallop Racer 2001,Tecmo,Tecmo,2001-03-29JP,Released,Unreleased,Released
1237,Gallop Racer 2003: A New Breed,Tecmo,"TecmoJP,NA, Zoo Digital PublishingPAL",2002-12-12JP,Released,Released,Released
1238,Gallop Racer 2004,Tecmo,"TecmoJP,NA, Zoo Digital PublishingPAL",2004-02-19JP,Released,Released,Released
1239,Gallop Racer 2006,Tecmo,Tecmo,2005-12-15JP,Released,Unreleased,Released
1240,Gallop Racer Inbreed,Tecmo,Tecmo,2006-11-02JP,Released,Unreleased,Unreleased
1241,Gambler Densetsu Tetsuya,Athena,Athena,2001-06-21JP,Released,Unreleased,Unreleased
1242,Gambler Densetsu Tetsuya Digest,Athena,Athena,2004-05-27JP,Released,Unreleased,Unreleased
1243,Gambler Densetsu Tetsuya: Kurouto Choujou Kessen,Athena,Athena,2003-07-03JP,Released,Unreleased,Unreleased
1244,Game Center USA: Midway Arcade Treasures,Success,Success,2006-09-21JP,Released,Unreleased,Unreleased
1245,Game ni Nattayo! Dokuro-chan,Idea Factory,Idea Factory,2005-11-10JP,Released,Unreleased,Unreleased
1246,Game Select 5 Wa,Yuki,Yuki,2000-09-28JP,Released,Unreleased,Unreleased
1247,Game Select 5 You,Yuki,Yuki,2001-01-25JP,Released,Unreleased,Unreleased
1248,Games Galaxy 2,Phoenix Games,Phoenix Games,2006EU,Unreleased,Released,Unreleased
1249,Gantz: The Game,Konami,Konami,2005-03-17JP,Released,Unreleased,Unreleased
1250,Glass Rose,Cing,Capcom,2003-11-06JP,Released,Released,Unreleased
1251,Garfield,The Code Monkeys,Hip Games,2004-11-19EU,Unreleased,Released,Unreleased
1252,Garfield: A Tale of Two Kitties,Asobo Studio,The Game Factory,2006-10-06EU,Unreleased,Released,Released
1253,Garfield: Lasagna World Tour,EKO Software,"Blast! Entertainment LtdEU, Conspiracy Enterta...",2007-11-30EU,Unreleased,Released,Released
1254,Garfield: Saving Arlene,EKO Software,"Titus Japan KKJP, Hip GamesEU",2006-04-27JP,Released,Released,Unreleased
1255,Garou: Mark of the Wolves,SNK Playmore,SNK Playmore,2005-06-30JP,Released,Unreleased,Unreleased
1256,Garouden Breakblow,Opus,ESP Software,2005-11-17JP,Released,Unreleased,Unreleased
1257,Garouden Breakblow: Fist or Twist,Opus,ESP Software,2007-03-15JP,Released,Unreleased,Unreleased
1258,Gauntlet: Dark Legacy,Midway Games West,Midway Games,2001-05-01NA,Released,Released,Released
1259,Gauntlet: Seven Sorrows,Midway Games,Midway Games,2005-12-12NA,Unreleased,Released,Released
1260,Gecko Blaster,Phoenix Games,Phoenix Games,2007-12-01EU,Unreleased,Released,Unreleased
1261,Gegege no Kitarou: Ibun Youkai Kitan,WinkySoft,Konami,2003-12-11JP,Released,Unreleased,Unreleased
1262,The Gekai,Vingt-et-un Systems,D3 Publisher,2004-09-02JP,Released,Unreleased,Unreleased
1263,Gekikuukan Pro Yakyuu: At the End of the Century 1999,SquareSoft,SquareSoft,2000-09-07JP,Released,Unreleased,Unreleased
1264,Gekitou Pro Yakyuu,Wow Entertainment,Sega,2003-09-11JP,Released,Unreleased,Unreleased
1265,Gendai Daisenryaku: Isshoku Sokuhatsu - Gunji Balance Houkai,SystemSoft,SystemSoft,2009-08-27JP,Released,Unreleased,Unreleased
1266,Gendai Yougo no Kiso Chishiki 2001,Artdink,Artdink,2001-12-06JP,Released,Unreleased,Unreleased
1267,Gene Troopers,Caludron Ltd.,Playlogic,2006-12-25NA,Unreleased,Released,Released
1268,Generation of Chaos,Idea Factory,Idea Factory,2001-08-09JP,Released,Unreleased,Unreleased
1269,Generation of Chaos III: Toki no Fuuin,Idea Factory,Idea Factory,2003-05-08JP,Released,Unreleased,Unreleased
1270,Generation of Chaos IV,Idea Factory,Idea Factory,2004-04-22JP,Released,Unreleased,Unreleased
1271,Generation of Chaos Desire,Idea Factory,Idea Factory,2007-09-27JP,Released,Unreleased,Unreleased
1272,Generation of Chaos Next,Idea Factory,Idea Factory,2002-04-25JP,Released,Unreleased,Unreleased
1273,Genji: Dawn of the Samurai,Game Republic,Sony Computer Entertainment,2005-06-28AS,Released,Released,Released
1274,Genshi no Kotoba,Sony Computer Entertainment,Sony Computer Entertainment,2001-10-18JP,Released,Unreleased,Unreleased
1275,Georama Sensen Ijou Nashi: Stalingrad e no Michi,Marionette,Marionette,2005-06-23JP,Released,Unreleased,Unreleased
1276,George of the Jungle and the Search for the Secret,Crave Entertainment,"Crave EntertainmentNA, Ignition EntertainmentEU",2008-03-18NA,Unreleased,Released,Released
1277,Germany's Next Topmodel 2009,SevenOne Intermedia,SevenOne Intermedia,2009-05-21EU,Unreleased,Released,Unreleased
1278,Get On Da Mic,A2M,Eidos Interactive,2004-10-05NA,Unreleased,Released,Released
1279,Get Ride! AMDriver: Soukoku no Shinjitsu,WinkySoft,Konami,2005-03-24JP,Released,Unreleased,Unreleased
1280,The Getaway,Team Soho,Sony Computer Entertainment,2002-12-11PAL,Released,Released,Released
1281,The Getaway: Black Monday,London Studio,Sony Computer Entertainment,2004-11-12PAL,Released,Released,Released
1282,GetBackers Dakkanya: Dakkandayo! Zenin Shuugou!!,Konami,Konami,2003-01-16JP,Released,Unreleased,Unreleased
1283,GetBackers Dakkanya: Ubawareta Mugenjou,Konami,Konami,2002-09-26JP,Released,Unreleased,Unreleased
1284,GetBackers Dakkanya: Urashinshiku Saikyou Battle,Konami,Konami,2004-04-29JP,Released,Unreleased,Unreleased
1285,Getsumento Heiki Mina: Futatsu no Project M,Idea Factory,Idea Factory,2007-07-26JP,Released,Unreleased,Unreleased
1286,Ghost in the Shell: Stand Alone Complex,Cavia,"Sony Computer EntertainmentJP,KO, BandaiNA,PAL",2004-03-04JP,Released,Released,Released
1287,Ghost Master: The Gravenville Chronicles,Empire Interactive,Empire Interactive,2004-08-27EU,Unreleased,Released,Unreleased
1288,Ghost Rider,Climax Group,2K Games,2007-02-13NA,Unreleased,Released,Released
1289,Ghost Vibration,Artoon,"Eidos InteractiveJP, InfogramesEU",2002-07-04JP,Released,Released,Unreleased
1290,Ghostbusters: The Video Game,Red Fly Studio,"Atari NA, Sony Computer EntertainmentPAL",2009-06-16NA,Unreleased,Released,Released
1291,Ghosthunter,SCE Studio Cambridge,"Sony Computer EntertainmentEU, NamcoNA, Electr...",2003-12-05EU,Released,Released,Released
1292,"Giant Robo: The Animation - Chikyuu ga Seishisuru Hi	",Tamsoft,D3 Publisher,2004-11-03JP,Released,Unreleased,Unreleased
1293,Giants: Citizen Kabuto,Planet Moon Studios,Interplay Entertainment,2001-12-20NA,Unreleased,Released,Released
1294,Gift,EKO Software,Cryo Interactive,2001-07-06EU,Unreleased,Released,Unreleased
1295,Gift: Prism,Moonstone,Sweets,2006-10-19JP,Released,Unreleased,Unreleased
1296,Gigawing Generations,Takumi Corporation,"TaitoJP, 505 Game StreetEU",2005-03-24JP,Released,Released,Unreleased
1297,Gin no Eclipse,NIne'sFox,NIne'sFox,2008-07-31JP,Released,Unreleased,Unreleased
1298,Gintama Gin-San to Issho! Boku no Kabuki Machi Nikki,Bandai Namco Games,Bandai Namco Games,2007-08-30JP,Released,Unreleased,Unreleased
1299,Girl Zone,Mere Mortals,Phoenix Games,2005EU,Unreleased,Released,Unreleased
1300,Girls Bravo: Romance 15's,Kadokawa Games,Kadokawa Games,2005-01-27JP,Released,Unreleased,Unreleased
1301,GitaDora! Guitar Freaks 4th Mix & DrumMania 3rd Mix,Konami,Konami,2001-09-20JP,Released,Unreleased,Unreleased
1302,Gitaroo Man,Koei/Inis,Koei,2001-06-21JP,Released,Released,Released
1303,Gladiator: Sword of Vengeance,Acclaim Studios Manchester,Acclaim Entertainment,2003-11-05NA,Unreleased,Released,Released
1304,Gladius,LucasArts,"LucasArtsNA, ActivisionEU",2003-10-28NA,Unreleased,Released,Released
1305,Glass Rose,Cing,Capcom,2003-11-06JP,Released,Released,Unreleased
1306,Global Defence Force,Sandlot,"D3 PublisherJP,KO, Essential GamesEU",2005-07-28JP,Released,Released,Unreleased
1307,Global Defence Force: Tactics,Sandlot,"D3 PublisherJP, Essential GamesEU",2006-07-27JP,Released,Released,Unreleased
1308,Global Folktale,Idea Factory,Idea Factory,2001-10-25JP,Released,Unreleased,Unreleased
1309,Global Touring Challenge: Africa,Rage Software,"XplosivPAL, Majesco EntertainmentNA, SuccessJP",2001-11-16EU,Released,Released,Released
1310,"Go, Diego, Go! Great Dinosaur Rescue",High Voltage Software,2K Play,2008-10-27NA,Unreleased,Released,Released
1311,"Go, Diego, Go! Safari Rescue",High Voltage Software,2K Play,2008-02-11NA,Unreleased,Released,Released
1312,Go Go Copter,Aqua Systems,"Aqua SystemsJP, Empire InteractiveEU",2003-03-13JP,Released,Released,Unreleased
1313,Go Go Golf,Mahou,"MahouJP, Midas Interactive EntertainmentEU",2000-09-21JP,Released,Released,Unreleased
1314,Go Kart Rally,Phoenix Games,Phoenix Games,2007-04-20EU,Unreleased,Released,Unreleased
1315,Goblin Commander: Unleash the Horde,Jaleco Entertainment,Jaleco Entertainment,2003-11-11NA,Unreleased,Released,Released
1316,Gobuato no Sekai,Media Factory,Media Factory,2001-08-02JP,Released,Unreleased,Unreleased
1317,God Hand,Clover Studio,Capcom,2006-09-14JP,Released,Released,Released
1318,God of War,Santa Monica Studio,"Sony Computer EntertainmentKO,NA,PAL, CapcomJP",2005-03-22NA,Released,Released,Released
1319,God of War II,Santa Monica Studio,"Sony Computer EntertainmentKO,NA,PAL, CapcomJP",2007-03-13NA,Released,Released,Released
1320,Godai Elemental Force,3DO,3DO,2002-01-21NA,Unreleased,Released,Released
1321,The Godfather,Page 44 Studios,Electronic Arts,2006-03-03KO,Released,Released,Released
1322,Godzilla: Save the Earth,Pipeworks Studios,Atari,2004-11-02NA,Released,Released,Released
1323,Godzilla: Unleashed,Pipeworks Studios,Atari,2007-11-20NA,Unreleased,Released,Released
